n_nodes,n_anomaly_nodes,method,noise_dist,data_id,ndcg_ranking,ndcg_manual,k
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,Bayesian,Normal,3,0.04,0.96,1
15,2,Bayesian,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,Bayesian,Normal,3,0.3308546615903019,0.6302268892718763,3
15,2,Bayesian,Normal,3,0.49127818728078426,0.7939491252668825,4
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,Bayesian,Normal,3,0.04,0.96,1
15,2,Bayesian,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,Bayesian,Normal,3,0.3308546615903019,0.6302268892718763,3
15,2,Bayesian,Normal,3,0.49127818728078426,0.7939491252668825,4
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,Bayesian,Normal,3,0.04,0.96,1
15,2,Bayesian,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,Bayesian,Normal,3,0.3308546615903019,0.6302268892718763,3
15,2,Bayesian,Normal,3,0.49127818728078426,0.7939491252668825,4
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,Bayesian,Normal,3,0.04,0.96,1
15,2,Bayesian,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,Bayesian,Normal,3,0.3308546615903019,0.6302268892718763,3
15,2,Bayesian,Normal,3,0.49127818728078426,0.7939491252668825,4
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
15,2,CIRCA,Normal,3,0.04,0.96,1
15,2,CIRCA,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,CIRCA,Normal,3,0.3346555992574613,0.6363583611995308,3
15,2,CIRCA,Normal,3,0.4754354279246192,0.858175584160507,4
15,2,CIRCA,Normal,3,0.5371923710045114,0.8724074469266648,5
15,2,Bayesian,Normal,3,0.04,0.96,1
15,2,Bayesian,Normal,3,0.25103497057995566,0.6118324734889126,2
15,2,Bayesian,Normal,3,0.3308546615903019,0.6302268892718763,3
15,2,Bayesian,Normal,3,0.49127818728078426,0.7939491252668825,4
15,2,Bayesian,Normal,3,0.5353902894807072,0.8651084390976713,5
